anio,departamento,prestadores_activos,rnt_municipios,categorias_rnt,capacidad_habitaciones,capacidad_camas,empleo_reportado_rnt
2024,BOLIVAR,10819,24,19,37834.0,82127.0,31906.0
2024,BOYACA,4098,109,15,20461.0,44231.0,7155.0
2024,CALDAS,2419,27,13,11289.0,24308.0,4324.0
2024,CAQUETA,377,14,12,2545.0,3771.0,562.0
2024,CASANARE,858,17,12,8535.0,12721.0,1324.0
2024,CAUCA,727,28,13,5688.0,7836.0,1383.0
2024,CESAR,822,24,13,8743.0,13968.0,2048.0
2024,CHOCO,563,19,8,4242.0,8053.0,951.0
2024,CORDOBA,935,25,11,8014.0,15514.0,1517.0
2024,CUNDINAMARCA,8125,112,17,37221.0,88632.0,15678.0
2024,GUAINIA,98,2,8,454.0,762.0,110.0
2024,GUAVIARE,216,3,10,884.0,1557.0,273.0
2024,HUILA,2055,37,15,11143.0,21503.0,3495.0
2024,LA GUAJIRA,1005,14,13,8313.0,14115.0,3499.0
2024,MAGDALENA,7906,17,14,28131.0,71560.0,15156.0
2024,META,2733,29,15,20433.0,37720.0,3766.0
2024,NARINO,1553,43,15,12172.0,19703.0,2846.0
2024,NORTE DE SANTANDER,1441,31,14,11254.0,18298.0,3254.0
2024,PUTUMAYO,543,13,11,4392.0,5650.0,823.0
2024,QUINDIO,4258,12,15,17988.0,43693.0,7738.0
2024,RISARALDA,2966,14,17,11905.0,26877.0,5386.0
2024,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",1793,2,14,9664.0,23644.0,8871.0
2024,SANTANDER,4738,82,16,27753.0,53487.0,7676.0
2024,SUCRE,1265,21,9,9245.0,24949.0,1951.0
2024,TOLIMA,3827,46,16,21308.0,49207.0,5340.0
2024,VALLE DEL CAUCA,7681,42,18,36315.0,71628.0,18269.0
2024,VAUPES,43,2,5,270.0,625.0,52.0
2024,VICHADA,83,4,5,695.0,1049.0,125.0
2025,AMAZONAS,518,3,11,2570.0,5944.0,1208.0
2025,ANTIOQUIA,22837,124,18,95002.0,204094.0,49839.0
2025,ARAUCA,161,6,10,1567.0,2387.0,338.0
2025,ATLANTICO,2988,19,15,16257.0,30668.0,11160.0
2025,BOGOTA D.C.,15069,7,20,83870.0,84130.0,56596.0
2025,BOLIVAR,12483,28,19,40016.0,89505.0,24310.0
2025,BOYACA,4406,111,15,21654.0,47143.0,7108.0
2025,CALDAS,2542,27,14,11920.0,25048.0,5469.0
2025,CAQUETA,414,13,11,2715.0,4062.0,705.0
2025,CASANARE,901,17,14,8376.0,13322.0,1510.0
2025,CAUCA,774,32,12,5212.0,8055.0,1449.0
2025,CESAR,949,24,16,8977.0,14984.0,2184.0
2025,CHOCO,631,17,7,4447.0,8587.0,1011.0
2025,CORDOBA,1052,25,14,8645.0,17262.0,2275.0
2025,CUNDINAMARCA,8787,113,17,39223.0,94738.0,16399.0
2025,GUAINIA,110,2,7,428.0,783.0,122.0
2025,GUAVIARE,217,3,10,937.0,1640.0,377.0
2025,HUILA,2225,37,17,11598.0,22809.0,3767.0
2025,LA GUAJIRA,1067,13,13,8131.0,14131.0,3555.0
2025,MAGDALENA,8827,19,15,29086.0,77210.0,15484.0
2025,META,2945,29,15,22395.0,41373.0,4369.0
2025,NARINO,1629,45,15,12642.0,20381.0,2967.0
2025,NORTE DE SANTANDER,1544,31,13,11516.0,19438.0,3870.0
2025,PUTUMAYO,612,13,11,4788.0,6223.0,1052.0
2025,QUINDIO,4356,12,14,17713.0,46507.0,7672.0
2025,RISARALDA,2994,14,16,12139.0,27444.0,6257.0
2025,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",1733,2,14,9588.0,22997.0,5232.0
2025,SANTANDER,5123,83,15,28495.0,56863.0,6150.0
2025,SIN ESPECIFICAR,11,1,3,2.0,6.0,3.0
2025,SUCRE,1362,20,11,10053.0,27350.0,2682.0
2025,TOLIMA,4108,46,16,21432.0,51967.0,6283.0
2025,VALLE DEL CAUCA,7974,42,17,36823.0,74409.0,18956.0
2025,VAUPES,48,3,7,269.0,562.0,66.0
2025,VICHADA,86,4,5,702.0,1066.0,114.0
