fecha,anio,mes_num,departamento,municipio,pasajeros_aereos_nacionales
2012-03-01,2012,3,ANTIOQUIA,El Bagre,432
2012-03-01,2012,3,ANTIOQUIA,Medellín,37383
2012-03-01,2012,3,ANTIOQUIA,Remedios,431
2012-03-01,2012,3,ANTIOQUIA,Rionegro,119979
2012-03-01,2012,3,ARAUCA,Arauca,4555
2012-03-01,2012,3,ARAUCA,Tame,180
2012-03-01,2012,3,ATLANTICO,Barranquilla,59489
2012-03-01,2012,3,BOGOTA D.C.,"Bogotá, D.C.",463181
2012-03-01,2012,3,BOLIVAR,Calamar,0
2012-03-01,2012,3,BOLIVAR,Cartagena,76707
2012-03-01,2012,3,CALDAS,Manizales,9987
2012-03-01,2012,3,CAQUETA,Florencia,2870
2012-03-01,2012,3,CAQUETA,San Vicente del Caguán,90
2012-03-01,2012,3,CAQUETA,Solano,0
2012-03-01,2012,3,CASANARE,Paz de Ariporo,8
2012-03-01,2012,3,CASANARE,Villanueva,36
2012-03-01,2012,3,CASANARE,Yopal,14217
2012-03-01,2012,3,CAUCA,Guapi,664
2012-03-01,2012,3,CAUCA,Popayán,3499
2012-03-01,2012,3,CESAR,San Martín,11
2012-03-01,2012,3,CESAR,Valledupar,10445
2012-03-01,2012,3,CHOCO,Acandí,231
2012-03-01,2012,3,CHOCO,Bahía Solano,864
2012-03-01,2012,3,CHOCO,Condoto,293
2012-03-01,2012,3,CHOCO,Nuquí,378
2012-03-01,2012,3,CHOCO,Quibdó,9964
2012-03-01,2012,3,CORDOBA,Montería,22302
2012-03-01,2012,3,GUAINIA,Barranco Minas,39
2012-03-01,2012,3,GUAINIA,Inírida,1061
2012-03-01,2012,3,GUAVIARE,Miraflores,251
2012-03-01,2012,3,GUAVIARE,San José del Guaviare,877
2012-03-01,2012,3,HUILA,Neiva,12742
2012-03-01,2012,3,LA GUAJIRA,Maicao,3890
2012-03-01,2012,3,LA GUAJIRA,Riohacha,3443
2012-03-01,2012,3,LA GUAJIRA,Uribia,1131
2012-03-01,2012,3,MAGDALENA,Santa Marta,37704
2012-03-01,2012,3,META,La Macarena,48
2012-03-01,2012,3,META,Puerto Gaitán,0
2012-03-01,2012,3,META,Uribe,29
2012-03-01,2012,3,META,Villavicencio,3151
2012-03-01,2012,3,NARINO,Ipiales,289
