fecha,anio,mes_num,departamento,pasajeros_aereos_nacionales,n_municipios_nac
2012-07-01,2012,7,MAGDALENA,43240,1
2012-07-01,2012,7,META,2819,5
2012-07-01,2012,7,NARINO,12950,3
2012-07-01,2012,7,NORTE DE SANTANDER,37758,1
2012-07-01,2012,7,PUTUMAYO,2843,3
2012-07-01,2012,7,QUINDIO,10569,1
2012-07-01,2012,7,RISARALDA,37052,1
2012-07-01,2012,7,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",40623,2
2012-07-01,2012,7,SANTANDER,64680,2
2012-07-01,2012,7,SIN ESPECIFICAR,0,1
2012-07-01,2012,7,SUCRE,2084,3
2012-07-01,2012,7,TOLIMA,6224,1
2012-07-01,2012,7,VALLE DEL CAUCA,126221,2
2012-07-01,2012,7,VAUPES,857,4
2012-07-01,2012,7,VICHADA,1771,3
2012-08-01,2012,8,AMAZONAS,6866,4
2012-08-01,2012,8,ANTIOQUIA,226931,6
2012-08-01,2012,8,ARAUCA,4756,2
2012-08-01,2012,8,ATLANTICO,79766,1
2012-08-01,2012,8,BOGOTA D.C.,540306,1
2012-08-01,2012,8,BOLIVAR,124314,1
2012-08-01,2012,8,CALDAS,9844,1
2012-08-01,2012,8,CAQUETA,3165,3
2012-08-01,2012,8,CASANARE,15170,2
2012-08-01,2012,8,CAUCA,4169,2
2012-08-01,2012,8,CESAR,12600,2
2012-08-01,2012,8,CHOCO,13240,5
2012-08-01,2012,8,CORDOBA,21975,1
2012-08-01,2012,8,GUAINIA,963,2
2012-08-01,2012,8,GUAVIARE,1143,2
2012-08-01,2012,8,HUILA,12240,1
2012-08-01,2012,8,LA GUAJIRA,8040,3
2012-08-01,2012,8,MAGDALENA,40403,1
2012-08-01,2012,8,META,2839,3
2012-08-01,2012,8,NARINO,12415,3
2012-08-01,2012,8,NORTE DE SANTANDER,38920,1
2012-08-01,2012,8,PUTUMAYO,3005,3
2012-08-01,2012,8,QUINDIO,11577,1
2012-08-01,2012,8,RISARALDA,38793,1
2012-08-01,2012,8,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",39487,2
2012-08-01,2012,8,SANTANDER,64594,2
2012-08-01,2012,8,SIN ESPECIFICAR,0,1
2012-08-01,2012,8,SUCRE,2052,3
2012-08-01,2012,8,TOLIMA,6567,1
2012-08-01,2012,8,VALLE DEL CAUCA,136085,2
2012-08-01,2012,8,VAUPES,691,4
2012-08-01,2012,8,VICHADA,1473,3
2012-09-01,2012,9,AMAZONAS,6397,4
2012-09-01,2012,9,ANTIOQUIA,219464,6
2012-09-01,2012,9,ARAUCA,4673,2
2012-09-01,2012,9,ATLANTICO,72821,1
2012-09-01,2012,9,BOGOTA D.C.,512999,1
2012-09-01,2012,9,BOLIVAR,111018,1
2012-09-01,2012,9,CALDAS,9239,1
2012-09-01,2012,9,CAQUETA,3177,3
2012-09-01,2012,9,CASANARE,15294,2
2012-09-01,2012,9,CAUCA,3858,2
2012-09-01,2012,9,CESAR,12230,2
2012-09-01,2012,9,CHOCO,13260,5
2012-09-01,2012,9,CORDOBA,21518,1
2012-09-01,2012,9,GUAINIA,682,2
2012-09-01,2012,9,GUAVIARE,1043,2
2012-09-01,2012,9,HUILA,12214,1
2012-09-01,2012,9,LA GUAJIRA,8124,3
2012-09-01,2012,9,MAGDALENA,32852,1
2012-09-01,2012,9,META,3065,3
2012-09-01,2012,9,NARINO,12317,3
2012-09-01,2012,9,NORTE DE SANTANDER,37108,1
2012-09-01,2012,9,PUTUMAYO,2858,3
2012-09-01,2012,9,QUINDIO,10126,1
2012-09-01,2012,9,RISARALDA,33321,1
2012-09-01,2012,9,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",36753,2
2012-09-01,2012,9,SANTANDER,62823,2
2012-09-01,2012,9,SIN ESPECIFICAR,0,1
2012-09-01,2012,9,SUCRE,2084,2
