fecha,anio,mes_num,departamento,visitantes_no_residentes,n_registros_origen,n_ciudades,n_paises_residencia
2015-06-01,2015,6,META,304.0,52,10,31
2015-06-01,2015,6,NARINO,1265.0,105,16,53
2015-06-01,2015,6,NORTE DE SANTANDER,1292.0,88,15,49
2015-06-01,2015,6,PUTUMAYO,30.0,12,5,9
2015-06-01,2015,6,QUINDIO,1045.0,86,10,38
2015-06-01,2015,6,RISARALDA,2119.0,105,11,58
2015-06-01,2015,6,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",3633.049,66,2,48
2015-06-01,2015,6,SANTANDER,1453.0,138,24,52
2015-06-01,2015,6,SIN ESPECIFICAR,25.0,11,1,11
2015-06-01,2015,6,SUCRE,100.0,21,6,15
2015-06-01,2015,6,TOLIMA,595.0,87,18,46
2015-06-01,2015,6,VALLE DEL CAUCA,7940.991,353,38,94
2015-06-01,2015,6,VAUPES,2.0,1,1,1
2015-06-01,2015,6,VICHADA,8.0,7,1,7
2015-07-01,2015,7,AMAZONAS,779.0,42,2,41
2015-07-01,2015,7,ANTIOQUIA,8860.666,325,55,112
2015-07-01,2015,7,ARAUCA,31.0,14,4,8
2015-07-01,2015,7,ATLANTICO,2556.212,112,16,79
2015-07-01,2015,7,BOGOTA D.C.,11547.749,141,1,141
2015-07-01,2015,7,BOLIVAR,6349.49,140,21,99
2015-07-01,2015,7,BOYACA,487.0,115,29,37
2015-07-01,2015,7,CALDAS,748.0,89,18,44
2015-07-01,2015,7,CAQUETA,20.0,12,3,12
2015-07-01,2015,7,CASANARE,63.0,28,7,19
2015-07-01,2015,7,CAUCA,321.0,52,15,31
2015-07-01,2015,7,CESAR,173.0,41,10,30
2015-07-01,2015,7,CHOCO,273.0,40,7,28
2015-07-01,2015,7,CORDOBA,198.0,54,14,28
2015-07-01,2015,7,CUNDINAMARCA,923.0,262,49,50
2015-07-01,2015,7,GUAINIA,12.0,4,2,3
2015-07-01,2015,7,GUAVIARE,2.0,2,1,2
2015-07-01,2015,7,HUILA,308.0,67,10,35
2015-07-01,2015,7,LA GUAJIRA,185.0,54,10,28
