fecha,fecha_predicha,departamento,target,prediccion,error,error_abs,horizonte,meses_horizonte
2024-07-01,2025-07-01,CORDOBA,479.0,390.16058,88.83941650390625,88.83941650390625,h12,12
2024-08-01,2025-08-01,CORDOBA,448.0,342.14215,105.85784912109375,105.85784912109375,h12,12
2024-09-01,2025-09-01,CORDOBA,324.0,371.78665,-47.786651611328125,47.786651611328125,h12,12
2024-01-01,2025-01-01,CUNDINAMARCA,2394.0,2423.0593,-29.059326171875,29.059326171875,h12,12
2024-02-01,2025-02-01,CUNDINAMARCA,2370.0,2414.5745,-44.574462890625,44.574462890625,h12,12
2024-03-01,2025-03-01,CUNDINAMARCA,2227.0,2492.954,-265.9541015625,265.9541015625,h12,12
2024-04-01,2025-04-01,CUNDINAMARCA,2650.0,2519.7612,130.23876953125,130.23876953125,h12,12
2024-05-01,2025-05-01,CUNDINAMARCA,2814.0,2492.1494,321.8505859375,321.8505859375,h12,12
2024-06-01,2025-06-01,CUNDINAMARCA,2891.0,2669.703,221.297119140625,221.297119140625,h12,12
2024-07-01,2025-07-01,CUNDINAMARCA,3455.0,2543.812,911.18798828125,911.18798828125,h12,12
2024-08-01,2025-08-01,CUNDINAMARCA,3298.0,2461.0647,836.935302734375,836.935302734375,h12,12
2024-09-01,2025-09-01,CUNDINAMARCA,2088.0,2311.6067,-223.606689453125,223.606689453125,h12,12
2024-01-01,2025-01-01,GUAINIA,16.0,0.78627944,15.213720560073853,15.213720560073853,h12,12
2024-02-01,2025-02-01,GUAINIA,20.0,19.396873,0.6031265258789062,0.6031265258789062,h12,12
2024-03-01,2025-03-01,GUAINIA,18.0,16.948233,1.051767349243164,1.051767349243164,h12,12
2024-04-01,2025-04-01,GUAINIA,12.0,19.117104,-7.117103576660156,7.117103576660156,h12,12
2024-05-01,2025-05-01,GUAINIA,9.0,19.78243,-10.782430648803711,10.782430648803711,h12,12
2024-06-01,2025-06-01,GUAINIA,6.0,8.309548,-2.3095483779907227,2.3095483779907227,h12,12
2024-07-01,2025-07-01,GUAINIA,7.0,33.426548,-26.42654800415039,26.42654800415039,h12,12
2024-08-01,2025-08-01,GUAINIA,19.0,10.872421,8.127578735351562,8.127578735351562,h12,12
2024-09-01,2025-09-01,GUAINIA,7.0,31.12043,-24.12042999267578,24.12042999267578,h12,12
2024-01-01,2025-01-01,GUAVIARE,12.0,0.0,12.0,12.0,h12,12
2024-02-01,2025-02-01,GUAVIARE,7.0,4.42603,2.573969841003418,2.573969841003418,h12,12
2024-03-01,2025-03-01,GUAVIARE,16.0,1.3901234,14.60987663269043,14.60987663269043,h12,12
2024-04-01,2025-04-01,GUAVIARE,5.0,3.0111973,1.9888026714324951,1.9888026714324951,h12,12
2024-05-01,2025-05-01,GUAVIARE,10.0,6.348363,3.651637077331543,3.651637077331543,h12,12
2024-06-01,2025-06-01,GUAVIARE,11.0,1.1394043,9.860595703125,9.860595703125,h12,12
2024-07-01,2025-07-01,GUAVIARE,9.0,15.593488,-6.593487739562988,6.593487739562988,h12,12
2024-08-01,2025-08-01,GUAVIARE,14.0,0.0,14.0,14.0,h12,12
2024-09-01,2025-09-01,GUAVIARE,9.0,40.883656,-31.883655548095703,31.883655548095703,h12,12
